"name","GM_CODE","AANT_INW","category"
"Alphen aan den Rijn","GM0484",114182,2
"Delft","GM0503",106086,4
"'s-Gravenhage","GM0518",562839,1
"Hillegom","GM0534",22453,2
"Katwijk","GM0537",66607,2
"Leiden","GM0546",127089,2
"Leiderdorp","GM0547",27657,2
"Lisse","GM0553",23390,2
"Nieuwkoop","GM0569",29463,2
"Noordwijk","GM0575",45179,2
"Oegstgeest","GM0579",25746,2
"Rijswijk","GM0603",57997,1
"Voorschoten","GM0626",25665,2
"Wassenaar","GM0629",27093,1
"Zoetermeer","GM0637",126998,3
"Zoeterwoude","GM0638",9443,2
"Teylingen","GM1525",38510,2
"Westland","GM1783",114887,4
"Midden-Delfland","GM1842",19472,4
"Kaag en Braassem","GM1884",28573,2
"Leidschendam-Voorburg","GM1916",77753,1
"Pijnacker-Nootdorp","GM1926",57672,4
